755.19,564.58,51,1
451.5,704.27,52,0
585.72,290.87,51,0
600.81,184.87,52,0
733.8,459.68,51,0
344.28,727.13,50,0
260.34,659.75,51,0
173.48,387.44,52,0
136.91,197.27,74,-1
411.8,470.32,51,0
117.69,588.96,52,-1
117.03,479.14,51,-1
503.78,609.71,52,0
732.21,176.77,74,-2
225.94,293.99,52,0
236.58,532.14,74,0
734.07,693,74,1
365.74,283.3,52,0
289.45,179.09,73,-2
516.14,502.86,52,0
582.3,712.59,73,2
373.98,596.43,73,0
473.04,356.61,73,0
470.11,206.19,73,0
141.62,717.78,74,2
304.08,396.03,74,0
733.27,327.79,73,1
627.2,567.88,73,0
612.87,415.37,72,0
